show me the flights arriving at love field	show me the flights arriving at love field	[IN:FLIGHT show me the flights arriving at [SL:TO_LOCATION [SL:AIRPORT_NAME love field ] ] ]
what is the cost of limousine service in philadelphia	what is the cost of limousine service in philadelphia	[IN:GROUND_FARE what is the cost of [SL:TRANSPORT_TYPE limousine ] service in [SL:CITY_NAME philadelphia ] ]
what do you know about car rental in denver	what do you know about car rental in denver	[IN:GROUND_SERVICE what do you know about [SL:TRANSPORT_TYPE car rental ] in [SL:CITY_NAME denver ] ]
"what""s the earliest flight leaving denver for pittsburgh"	"what""s the earliest flight leaving denver for pittsburgh"	[IN:FLIGHT what's the [SL:FLIGHT_MOD earliest ] flight leaving [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] for [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
show me flights from baltimore to philadelphia	show me flights from baltimore to philadelphia	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
"i""d need information please on a flight from washington dc san francisco california"	"i""d need information please on a flight from washington dc san francisco california"	[IN:FLIGHT i'd need information please on a flight from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] [SL:FROM_LOCATION [SL:STATE_NAME california ] ] ]
show me flights from san francisco to denver after 4 pm	show me flights from san francisco to denver after 4 pm	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 4 pm ] ] ]
what does the fare code qx mean	what does the fare code qx mean	[IN:ABBREVIATION what does the fare code [SL:FARE_BASIS_CODE qx ] mean ]
show me the one way fares from san diego to miami nonstop	show me the one way fares from san diego to miami nonstop	[IN:AIRFARE show me the [SL:ROUND_TRIP one way ] fares from [SL:FROM_LOCATION [SL:CITY_NAME san diego ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] [SL:FLIGHT_STOP nonstop ] ]
what is fare code h	what is fare code h	[IN:ABBREVIATION what is fare code [SL:FARE_BASIS_CODE h ] ]
"i""d like a united airlines flight on wednesday from san francisco to boston"	"i""d like a united airlines flight on wednesday from san francisco to boston"	[IN:FLIGHT i'd like a [SL:AIRLINE_NAME united airlines ] flight on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
"all flights from baltimore to atlanta between 1 o""clock and 3 o""clock in the afternoon"	"all flights from baltimore to atlanta between 1 o""clock and 3 o""clock in the afternoon"	[IN:FLIGHT all flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] between [SL:DEPART_TIME [SL:START_TIME 1 o'clock ] ] and [SL:DEPART_TIME [SL:END_TIME 3 o'clock ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
fares from dallas to baltimore	fares from dallas to baltimore	[IN:AIRFARE fares from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
how many airlines fly from new york to los angeles by way of milwaukee	how many airlines fly from new york to los angeles by way of milwaukee	[IN:QUANTITY how many airlines fly from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME los angeles ] ] by way of [SL:STOP_LOCATION [SL:CITY_NAME milwaukee ] ] ]
flights from houston to los angeles departing after 1026	flights from houston to los angeles departing after 1026	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME houston ] ] to [SL:TO_LOCATION [SL:CITY_NAME los angeles ] ] departing [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 1026 ] ] ]
is there a flight from baltimore to san francisco with a stop in denver on twa	is there a flight from baltimore to san francisco with a stop in denver on twa	[IN:FLIGHT is there a flight from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] with a stop in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] on [SL:AIRLINE_CODE twa ] ]
tell me about flights from atlanta to charlotte north carolina leaving on monday and arriving in charlotte	tell me about flights from atlanta to charlotte north carolina leaving on monday and arriving in charlotte	[IN:FLIGHT tell me about flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME charlotte ] ] [SL:TO_LOCATION [SL:STATE_NAME north carolina ] ] leaving on [SL:DEPART_DATE [SL:DAY_NAME monday ] ] and arriving in [SL:TO_LOCATION [SL:CITY_NAME charlotte ] ] ]
is there a flight between washington dc and san francisco on us air at 8 am	is there a flight between washington dc and san francisco on us air at 8 am	[IN:FLIGHT is there a flight between [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:AIRLINE_NAME us air ] at [SL:DEPART_TIME [SL:TIME 8 am ] ] ]
what kind of plane is used on the earliest flight from boston to san francisco afternoon	what kind of plane is used on the earliest flight from boston to san francisco afternoon	[IN:AIRCRAFT what kind of plane is used on the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
what ground transportation is there in oakland	what ground transportation is there in oakland	[IN:GROUND_SERVICE what ground transportation is there in [SL:CITY_NAME oakland ] ]
flights from oakland to san francisco	flights from oakland to san francisco	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what evening flights do you have available from baltimore to philadelphia	what evening flights do you have available from baltimore to philadelphia	[IN:FLIGHT what [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] flights do you have available from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
show me all the flights to baltimore from denver or philadelphia or pittsburgh	show me all the flights to baltimore from denver or philadelphia or pittsburgh	[IN:FLIGHT show me all the flights to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] [SL:OR or ] [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:OR or ] [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
what are the cheapest one way flights from denver to atlanta	what are the cheapest one way flights from denver to atlanta	[IN:FLIGHT what are the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP one way ] flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me all prices of first class from baltimore to dallas	show me all prices of first class from baltimore to dallas	[IN:AIRFARE show me all prices of [SL:CLASS_TYPE first class ] from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
how much is the 718 am flight from las vegas to new york twa	how much is the 718 am flight from las vegas to new york twa	[IN:AIRFARE how much is the [SL:DEPART_TIME [SL:TIME 718 am ] ] flight from [SL:FROM_LOCATION [SL:CITY_NAME las vegas ] ] to [SL:TO_LOCATION [SL:CITY_NAME new york ] ] [SL:AIRLINE_CODE twa ] ]
is the american flight 813 from boston to oakland a nonstop flight	is the american flight 813 from boston to oakland a nonstop flight	[IN:FLIGHT is the [SL:AIRLINE_NAME american ] flight [SL:FLIGHT_NUMBER 813 ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] a [SL:FLIGHT_STOP nonstop ] flight ]
"show me all flights from kansas city to chicago on june sixteenth arriving around 7 o""clock in the evening"	"show me all flights from kansas city to chicago on june sixteenth arriving around 7 o""clock in the evening"	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME kansas city ] ] to [SL:TO_LOCATION [SL:CITY_NAME chicago ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER sixteenth ] ] arriving [SL:ARRIVE_TIME [SL:TIME_RELATIVE around ] ] [SL:ARRIVE_TIME [SL:TIME 7 o'clock ] ] in the [SL:ARRIVE_TIME [SL:PERIOD_OF_DAY evening ] ] ]
"i""m looking for a flight that goes from san jose to houston on may thirtieth and that leaves after noon"	"i""m looking for a flight that goes from san jose to houston on may thirtieth and that leaves after noon"	[IN:FLIGHT i'm looking for a flight that goes from [SL:FROM_LOCATION [SL:CITY_NAME san jose ] ] to [SL:TO_LOCATION [SL:CITY_NAME houston ] ] on [SL:DEPART_DATE [SL:MONTH_NAME may ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirtieth ] ] and that leaves [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME noon ] ] ]
show me the flights from philadelphia to boston	show me the flights from philadelphia to boston	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
flight from washington dc to salt lake city	flight from washington dc to salt lake city	[IN:FLIGHT flight from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] ]
show me the flights from san francisco to las vegas	show me the flights from san francisco to las vegas	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] ]
what flights go from newark to boston after 1024 in the morning	what flights go from newark to boston after 1024 in the morning	[IN:FLIGHT what flights go from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 1024 ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
which airline has more business class flights than any other airline	which airline has more business class flights than any other airline	[IN:AIRLINE which airline has [SL:MOD more ] [SL:CLASS_TYPE business class ] flights than any other airline ]
do you have any flights from pittsburgh to boston on wednesday of next week in the morning	do you have any flights from pittsburgh to boston on wednesday of next week in the morning	[IN:FLIGHT do you have any flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] of [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] week in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
which airlines have first class flights today	which airlines have first class flights today	[IN:AIRLINE which airlines have [SL:CLASS_TYPE first class ] flights [SL:DEPART_DATE [SL:TODAY_RELATIVE today ] ] ]
what is the ap57 restriction	what is the ap57 restriction	[IN:ABBREVIATION what is the [SL:RESTRICTION_CODE ap57 ] restriction ]
which flights on northwest and united airlines stop in denver before noon	which flights on northwest and united airlines stop in denver before noon	[IN:FLIGHT which flights on [SL:AIRLINE_NAME northwest ] and [SL:AIRLINE_NAME united airlines ] stop in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME noon ] ] ]
"daily flights from newark to cleveland departing 5 o""clock pm"	"daily flights from newark to cleveland departing 5 o""clock pm"	[IN:FLIGHT [SL:FLIGHT_DAYS daily ] flights from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] departing [SL:DEPART_TIME [SL:TIME 5 o'clock pm ] ] ]
i would like to make a round trip between washington and san francisco	i would like to make a round trip between washington and san francisco	[IN:FLIGHT i would like to make a [SL:ROUND_TRIP round trip ] between [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what airlines service pittsburgh airport	what airlines service pittsburgh airport	[IN:AIRLINE what airlines service [SL:AIRPORT_NAME pittsburgh airport ] ]
show me round trip flights from denver to baltimore that offer first class service on united	show me round trip flights from denver to baltimore that offer first class service on united	[IN:FLIGHT show me [SL:ROUND_TRIP round trip ] flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] that offer [SL:CLASS_TYPE first class ] service on [SL:AIRLINE_NAME united ] ]
i would like an early morning flight from chicago into seattle on continental airlines	i would like an early morning flight from chicago into seattle on continental airlines	[IN:FLIGHT i would like an [SL:DEPART_TIME [SL:PERIOD_OF_DAY early ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] flight from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] into [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] on [SL:AIRLINE_NAME continental airlines ] ]
philadelphia to boston monday	philadelphia to boston monday	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
"i""m interested in round trip flights from boston to washington"	"i""m interested in round trip flights from boston to washington"	[IN:FLIGHT i'm interested in [SL:ROUND_TRIP round trip ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
show me all flights from montreal	show me all flights from montreal	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME montreal ] ] ]
can you tell me about flights from san jose to nashville on saturday afternoon	can you tell me about flights from san jose to nashville on saturday afternoon	[IN:FLIGHT can you tell me about flights from [SL:FROM_LOCATION [SL:CITY_NAME san jose ] ] to [SL:TO_LOCATION [SL:CITY_NAME nashville ] ] on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
list all the takeoffs and landings at general mitchell international	list all the takeoffs and landings at general mitchell international	[IN:FLIGHT list all the takeoffs and landings at [SL:AIRPORT_NAME general mitchell international ] ]
what flights go from chicago to seattle on saturday on continental airlines	what flights go from chicago to seattle on saturday on continental airlines	[IN:FLIGHT what flights go from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] on [SL:AIRLINE_NAME continental airlines ] ]
what is the cheapest round trip flight from denver to atlanta	what is the cheapest round trip flight from denver to atlanta	[IN:FLIGHT what is the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP round trip ] flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
are there any united airlines flights between boston and dallas	are there any united airlines flights between boston and dallas	[IN:FLIGHT are there any [SL:AIRLINE_NAME united airlines ] flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
show nonstop flights from new york to miami on a tuesday which cost less than 466 dollars one way	show nonstop flights from new york to miami on a tuesday which cost less than 466 dollars one way	[IN:FLIGHT show [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] on a [SL:ARRIVE_DATE [SL:DAY_NAME tuesday ] ] which cost [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 466 dollars ] [SL:ROUND_TRIP one way ] ]
what does ea mean	what does ea mean	[IN:ABBREVIATION what does [SL:AIRLINE_CODE ea ] mean ]
show flights first class on american from philadelphia to dallas fort worth	show flights first class on american from philadelphia to dallas fort worth	[IN:FLIGHT show flights [SL:CLASS_TYPE first class ] on [SL:AIRLINE_NAME american ] from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas fort worth ] ] ]
"i""d like to know the ground travel available in fort worth"	"i""d like to know the ground travel available in fort worth"	[IN:GROUND_SERVICE i'd like to know the ground travel available in [SL:CITY_NAME fort worth ] ]
give me the list of flights for continental airlines between boston and denver	give me the list of flights for continental airlines between boston and denver	[IN:FLIGHT give me the list of flights for [SL:AIRLINE_NAME continental airlines ] between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what does restriction ap 57 mean	what does restriction ap 57 mean	[IN:ABBREVIATION what does restriction [SL:RESTRICTION_CODE ap 57 ] mean ]
now i need a one way flight from pittsburgh to denver	now i need a one way flight from pittsburgh to denver	[IN:FLIGHT now i need a [SL:ROUND_TRIP one way ] flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
show me flights between milwaukee and phoenix on saturday or sunday american airlines	show me flights between milwaukee and phoenix on saturday or sunday american airlines	[IN:FLIGHT show me flights between [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] and [SL:TO_LOCATION [SL:CITY_NAME phoenix ] ] on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] [SL:OR or ] [SL:DEPART_DATE [SL:DAY_NAME sunday ] ] [SL:AIRLINE_NAME american airlines ] ]
define airline ua	define airline ua	[IN:ABBREVIATION define airline [SL:AIRLINE_CODE ua ] ]
i would like a flight from denver to pittsburgh	i would like a flight from denver to pittsburgh	[IN:FLIGHT i would like a flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
"what""s the first flight from dallas to houston"	"what""s the first flight from dallas to houston"	[IN:FLIGHT what's the [SL:FLIGHT_MOD first ] flight from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME houston ] ] ]
show me the cheapest flights from san francisco to philadelphia	show me the cheapest flights from san francisco to philadelphia	[IN:FLIGHT show me the [SL:COST_RELATIVE cheapest ] flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
flights from kansas city to cleveland on wednesday before 5 pm	flights from kansas city to cleveland on wednesday before 5 pm	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME kansas city ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 5 pm ] ] ]
how many stops on continental 1765 from boston to san francisco	how many stops on continental 1765 from boston to san francisco	[IN:QUANTITY how many stops on [SL:AIRLINE_NAME continental ] [SL:FLIGHT_NUMBER 1765 ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
"i""d like to book the cheapest flight from atlanta to denver on august first"	"i""d like to book the cheapest flight from atlanta to denver on august first"	[IN:FLIGHT i'd like to book the [SL:COST_RELATIVE cheapest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER first ] ] ]
list all flights from boston to san francisco on united airlines	list all flights from boston to san francisco on united airlines	[IN:FLIGHT list all flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:AIRLINE_NAME united airlines ] ]
"yes i""d like a flight from long beach to st. louis by way of dallas"	"yes i""d like a flight from long beach to st. louis by way of dallas"	[IN:FLIGHT yes i'd like a flight from [SL:FROM_LOCATION [SL:CITY_NAME long beach ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. louis ] ] by way of [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
what is the lowest fare from denver to pittsburgh	what is the lowest fare from denver to pittsburgh	[IN:AIRFARE what is the [SL:COST_RELATIVE lowest ] fare from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
flights from newark new jersey to minneapolis	flights from newark new jersey to minneapolis	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] [SL:FROM_LOCATION [SL:STATE_NAME new jersey ] ] to [SL:TO_LOCATION [SL:CITY_NAME minneapolis ] ] ]
show me the flights from baltimore to oakland	show me the flights from baltimore to oakland	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
"i""m requesting flight information on a flight from san francisco to pittsburgh on friday"	"i""m requesting flight information on a flight from san francisco to pittsburgh on friday"	[IN:FLIGHT i'm requesting flight information on a flight from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
how many different flight classes are there	how many different flight classes are there	[IN:QUANTITY how many different flight classes are there ]
what kind of ground transportation can you offer me in seattle	what kind of ground transportation can you offer me in seattle	[IN:GROUND_SERVICE what kind of ground transportation can you offer me in [SL:CITY_NAME seattle ] ]
show me the flights from tacoma to miami after 6 pm	show me the flights from tacoma to miami after 6 pm	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME tacoma ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 6 pm ] ] ]
i need to fly from boston to denver this monday	i need to fly from boston to denver this monday	[IN:FLIGHT i need to fly from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] this [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
which airline has the most arrivals in atlanta	which airline has the most arrivals in atlanta	[IN:AIRLINE which airline has the [SL:MOD most ] arrivals in [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me the fares for a first class ticket from baltimore to dallas	show me the fares for a first class ticket from baltimore to dallas	[IN:AIRFARE show me the fares for a [SL:CLASS_TYPE first class ] ticket from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
how many cities are served by delta airlines with first class flights	how many cities are served by delta airlines with first class flights	[IN:QUANTITY how many cities are served by [SL:AIRLINE_NAME delta airlines ] with [SL:CLASS_TYPE first class ] flights ]
give me the first flight from boston to atlanta	give me the first flight from boston to atlanta	[IN:FLIGHT give me the [SL:FLIGHT_MOD first ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what is the first flight from boston to atlanta	what is the first flight from boston to atlanta	[IN:FLIGHT what is the [SL:FLIGHT_MOD first ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me the evening flights from philadelphia to baltimore	show me the evening flights from philadelphia to baltimore	[IN:FLIGHT show me the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
what are all the flights available between pittsburgh and dallas fort worth	what are all the flights available between pittsburgh and dallas fort worth	[IN:FLIGHT what are all the flights available between [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] and [SL:TO_LOCATION [SL:CITY_NAME dallas fort worth ] ] ]
is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm	is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm	[IN:FLIGHT is there a flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] that arrives between [SL:ARRIVE_TIME [SL:START_TIME 6 ] ] and [SL:ARRIVE_TIME [SL:END_TIME 7 pm ] ] ]
show me one more time the first class fares from baltimore to dallas	show me one more time the first class fares from baltimore to dallas	[IN:AIRFARE show me one more time the [SL:CLASS_TYPE first class ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
what flights are there from memphis to las vegas	what flights are there from memphis to las vegas	[IN:FLIGHT what flights are there from [SL:FROM_LOCATION [SL:CITY_NAME memphis ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] ]
ground transportation baltimore	ground transportation baltimore	[IN:GROUND_SERVICE ground transportation [SL:CITY_NAME baltimore ] ]
i would like the fare on the us air 1039 from denver to pittsburgh on april twenty	i would like the fare on the us air 1039 from denver to pittsburgh on april twenty	[IN:AIRFARE i would like the fare on the [SL:AIRLINE_NAME us air ] [SL:FLIGHT_NUMBER 1039 ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:MONTH_NAME april ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty ] ] ]
what car rentals are available next sunday from denver airport	what car rentals are available next sunday from denver airport	[IN:GROUND_SERVICE what [SL:TRANSPORT_TYPE car rentals ] are available [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] [SL:DEPART_DATE [SL:DAY_NAME sunday ] ] from [SL:FROM_LOCATION [SL:AIRPORT_NAME denver airport ] ] ]
show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am	show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am	[IN:FLIGHT show me all flights direct and connecting from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] that arrive in [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE before ] ] [SL:ARRIVE_TIME [SL:TIME 10 am ] ] ]
list all tuesday night flights from boston to denver	list all tuesday night flights from boston to denver	[IN:FLIGHT list all [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY night ] ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
"what""s the lowest round trip fare from atlanta to bwi"	"what""s the lowest round trip fare from atlanta to bwi"	[IN:AIRFARE what's the [SL:COST_RELATIVE lowest ] [SL:ROUND_TRIP round trip ] fare from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:AIRPORT_CODE bwi ] ] ]
